artist,link,track
THOM PACE,http://web.tiscali.it/krokozahn88/0057%20-%20THOM%20PACE%20-%20%20MAYBE.jpg,MAYBE
Bernd Clüver,http://web.tiscali.it/krokozahn89/0058%20-%20Bernd%20Cluever%20-%20Der%20kleine%20Prinz.jpg,Der kleine Prinz
Wum's Gesang,http://web.tiscali.it/krokozahn90/0059%20-%20Wum%27s%20Gesang%20-%20Ich%20wuensch%20mir%20%27ne%20kleine%20Miezekatze.jpg,Ich wünsch mir 'ne kleine Miezekatze
Frank Duval,http://web.tiscali.it/krokozahn91/0060%20-%20Frank%20Duval%20-%20Angel%20Of%20Mine.jpg,Angel Of Mine
Salt'n Pepa,http://web.tiscali.it/krokozahn92/0061%20-%20Salt%27n%20Pepa%20-%20Let%27s%20Talk%20About%20Sex.jpg,Let's Talk About Sex
Eminem,http://web.tiscali.it/krokozahn93/0062%20-%20Eminem%20-%20Without%20Me%20%28Radio%20Edit%29.jpg,Without Me (Radio Edit)
Cliff Richard,http://web.tiscali.it/krokozahn94/0063%20-%20Cliff%20Richard%20-%20We%20Don%27t%20Talk%20Anymore.jpg,We Don't Talk Anymore
Shakira,"http://web.tiscali.it/krokozahn95/0064%20-%20Shakira%20-%20Whenever,%20Wherever.jpg","Whenever, Wherever"
Sweet,http://web.tiscali.it/krokozahn96/0065%20-%20Sweet%20-%20Co-Co.jpg,Co
Sinead O'Connor,http://web.tiscali.it/krokozahn97/0066%20-%20Sinead%20%20O%27Connor%20-%20Nothing%20Compares%202%20U.jpg,Nothing Compares 2 U
Rednex,http://web.tiscali.it/krokozahn98/0067%20-%20Rednex%20-%20Cotton%20eye%20Joe.jpg,Cotton eye Joe
Baccara,http://web.tiscali.it/krokozahn99/0068%20-%20Baccara%20-%20Yes%20Sir%20I%20Can%20Boogie.jpg,Yes Sir I Can Boogie
Lipps Inc,http://web.tiscali.it/take_the_best01/0069%20-%20Lipps%20Inc%20-%20Funkytown.jpg,Funkytown
Ace of Base,http://web.tiscali.it/take_the_best02/0070%20-%20Ace%20of%20Base%20-%20All%20that%20she%20wants.jpg,All that she wants
Spider Murphy Band,http://web.tiscali.it/take_the_best03/0071%20-%20Spider%20Murphy%20Band%20-%20Skandal%20im%20Sperrbezirk.jpg,Skandal im Sperrbezirk
Jean,http://web.tiscali.it/take_the_best04/0072%20-%20Jean-Claude%20Borelly%20-%20Dolannes%20Melody.jpg,Dolannes Melody
David Dundas,http://web.tiscali.it/take_the_best05/0073%20-%20David%20Dundas%20-%20Jeans%20On.jpg,Jeans On
Abba,http://web.tiscali.it/take_the_best06/0074%20-%20Abba%20-%20Honey%20Honey.jpg,Honey Honey
Mysterious Art,http://web.tiscali.it/take_the_best07/0075%20-%20Mysterious%20Art%20-%20Das%20Omen%20I.jpg,Das Omen I
Meat Loaf,http://web.tiscali.it/take_the_best08/0076%20-%20Meat%20Loaf%20-%20I%27d%20Do%20Anything%20For%20You%20%28But%20I%20Won%27t%20Do%20T.jpg,I'd Do Anything For You (But I Won't Do That)
Oliver Onions,http://web.tiscali.it/take_the_best09/0077%20-%20Oliver%20Onions%20-%20Santa%20Maria.jpg,Santa Maria
George Harrison,http://web.tiscali.it/take_the_best10/0078%20-%20George%20Harrison%20-%20My%20Sweet%20Lord.jpg,My Sweet Lord
Elton John,http://web.tiscali.it/take_the_best11/0079%20-%20Elton%20John%20-%20Candle%20In%20The%20Wind.jpg,Candle In The Wind
Bobby McFerrin,"http://web.tiscali.it/take_the_best12/0080%20-%20Bobby%20McFerrin%20-%20Dont%20worry,%20Be%20happy.jpg","Dont worry, Be happy"
Santa Esmeralda,http://web.tiscali.it/take_the_best13/0081%20-%20Santa%20Esmeralda%20-%20Don%27t%20Let%20Me%20Be%20Misunderstood.jpg,Don't Let Me Be Misunderstood
Mariah Carey,http://web.tiscali.it/take_the_best14/0082%20-%20Mariah%20Carey%20-%20Without%20you.jpg,Without you
Abba,http://web.tiscali.it/take_the_best15/0083%20-%20Abba%20-%20SOS.jpg,SOS
Eiffel 65,http://web.tiscali.it/take_the_best16/0084%20-%20Eiffel%2065%20-%20Blue%20%28Da%20Ba%20Dee%29.jpg,Blue (Da Ba Dee)
Blondie,http://web.tiscali.it/take_the_best17/0085%20-%20Blondie%20-%20Heart%20Of%20Glass.jpg,Heart Of Glass
Roxette,http://web.tiscali.it/take_the_best18/0086%20-%20Roxette%20-%20Joyride.jpg,Joyride
Mouth & McNeal,http://web.tiscali.it/take_the_best19/0087%20-%20Mouth%20&%20McNeal%20-%20Hello%20A.jpg,Hello A
Phil Collins,http://web.tiscali.it/take_the_best20/0088%20-%20Phil%20Collins%20-%20Another%20Day%20in%20Paradise.jpg,Another Day in Paradise
Trio,http://web.tiscali.it/take_the_best21/0089%20-%20Trio%20-%20Da%20Da%20Da.jpg,Da Da Da
Freddie Mercury,http://web.tiscali.it/take_the_best22/0090%20-%20Freddie%20Mercury%20-%20Living%20on%20my%20own.jpg,Living on my own
Aqua,http://web.tiscali.it/take_the_best23/0091%20-%20Aqua%20-%20Barbie%20Girl.jpg,Barbie Girl
Cher,http://web.tiscali.it/take_the_best24/0092%20-%20Cher%20-%20Believe.jpg,Believe
Los Del Rio,http://web.tiscali.it/take_the_best25/0093%20-%20Los%20Del%20Rio%20-%20Macarena%20.jpg,Macarena
Oliver Onions,http://web.tiscali.it/take_the_best26/0094%20-%20Oliver%20Onions%20-%20Orzowei.jpg,Orzowei
Pop Tops,http://web.tiscali.it/take_the_best27/0095%20-%20Pop%20Tops%20-%20Mamy%20Blue.jpg,Mamy Blue
Kate Yanai,http://web.tiscali.it/take_the_best28/0096%20-%20Kate%20Yanai%20-%20Bacardi%20Feeling.jpg,Bacardi Feeling
Erasure,http://web.tiscali.it/take_the_best29/0097%20-%20Erasure%20-%20ABBA-esque%20The%20Remixes%20-%20SOS%20%28Perimeter%20Mix.jpg,SOS (Perimeter Mix)
Andy Borg,http://web.tiscali.it/take_the_best30/0098%20-%20Andy%20Borg%20-%20Adios%20Amor.jpg,Adios Amor
Abba,http://web.tiscali.it/take_the_best31/0099%20-%20Abba%20-%20Waterloo.jpg,Waterloo
Frank Farian,http://web.tiscali.it/take_the_best32/0100%20-%20Frank%20Farian%20-%20Rocky.jpg,Rocky
Captain Hollywood Project,http://web.tiscali.it/take_the_best33/0101%20-%20Captain%20Hollywood%20Project%20-%20More%20and%20more.jpg,More and more
Vicky Leandros,http://web.tiscali.it/take_the_best34/0102%20-%20Vicky%20Leandros%20-%20Theo%20wir%20fahr%27n%20nach%20Lodz.jpg,Theo wir fahr'n nach Lodz
Visage,http://web.tiscali.it/take_the_best35/0103%20-%20Visage%20-%20Fade%20To%20Grey.jpg,Fade To Grey
ABBA,http://web.tiscali.it/take_the_best36/0104%20-%20ABBA%20-%20Super%20Trouper.jpg,Super Trouper
Lynn Anderson,http://web.tiscali.it/take_the_best37/0105%20-%20Lynn%20Anderson%20-%20Rose%20Garden.jpg,Rose Garden
Oli P.,http://web.tiscali.it/take_the_best38/0106%20-%20Oli%20P.%20-%20Flugzeuge%20im%20Bauch.jpg,Flugzeuge im Bauch
Bernd Clüver,http://web.tiscali.it/take_the_best39/0107%20-%20Bernd%20Cluever%20-%20Der%20Junge%20mit%20der%20Mundharmonika.jpg,Der Junge mit der Mundharmonika
Pet Shop Boys,http://web.tiscali.it/take_the_best40/0108%20-%20Pet%20Shop%20Boys%20-%20Go%20west.jpg,Go west
Les Humphries Singers,http://web.tiscali.it/take_the_best41/0109%20-%20Les%20Humphries%20Singers%20-%20Mama%20Loo.jpg,Mama Loo
Robert Miles,http://web.tiscali.it/take_the_best42/0110%20-%20Robert%20Miles-%20Children%20.jpg,Children
Fugees,http://web.tiscali.it/take_the_best43/0111%20-%20Fugees%20-%20Killing%20Me%20Softly%20.jpg,Killing Me Softly
Peter Alexander,http://web.tiscali.it/take_the_best44/0112%20-%20Peter%20Alexander%20-%20Die%20kleine%20Kneipe.jpg,Die kleine Kneipe
Bellamy Brothers,http://web.tiscali.it/take_the_best45/0113%20-%20Bellamy%20Brothers%20-%20Let%20Your%20Love%20Flow.jpg,Let Your Love Flow
5000 Volts,http://web.tiscali.it/take_the_best46/0114%20-%205000%20Volts%20-%20I%27m%20On%20Fire.jpg,I'm On Fire
Run D.M.C. Vs. J.Nevins,http://web.tiscali.it/take_the_best47/0115%20-%20Run%20D.M.C.%20Vs.%20J.Nevins%20-%20It%27s%20like%20That.jpg,It's like That
Culture Club,http://web.tiscali.it/take_the_best48/0116%20-%20Culture%20Club%20-%20Do%20you%20really%20want%20to%20hurt%20me.jpg,Do you really want to hurt me
M,http://web.tiscali.it/take_the_best49/0117%20-%20M%20-%20Pop%20Musik.jpg,Pop Musik
Boney M,http://web.tiscali.it/take_the_best50/0118%20-%20Boney%20M%20-%20Ma%20Baker.jpg,Ma Baker
Earth & Fire,http://web.tiscali.it/take_the_best51/0119%20-%20Earth%20&%20Fire%20-%20Weekend.jpg,Weekend
Windows,http://web.tiscali.it/take_the_best52/0120%20-%20Windows%20-%20How%20do%20you%20do%20%28Dt.%20Version%29.jpg,How do you do (Dt. Version)
Fox,http://web.tiscali.it/take_the_best53/0121%20-%20Fox%20-%20Only%20You%20Can.jpg,Only You Can
Nicole,http://web.tiscali.it/take_the_best54/0122%20-%20Nicole%20-%20Ein%20bisschen%20Frieden.jpg,Ein bisschen Frieden
Peter Schilling,http://web.tiscali.it/take_the_best55/0123%20-%20Peter%20Schilling%20-%20Major%20Tom%20%28Voellig%20Losgeloest%29.jpg,Major Tom (V?llig Losgel?st)
Christian Anders,http://web.tiscali.it/take_the_best56/0124%20-%20Christian%20Anders%20-%20Es%20faehrt%20ein%20Zug%20nach%20nirgendwo.jpg,Es f?hrt ein Zug nach nirgendwo
Creedence Clearwater Revival,http://web.tiscali.it/take_the_best57/0125%20-%20Creedence%20Clearwater%20Revival%20-%20Hey%20Tonight.jpg,Hey Tonight
Barbra Streisand,http://web.tiscali.it/take_the_best58/0126%20-%20Barbra%20Streisand%20-%20Woman%20in%20love.jpg,Woman in love
Jürgen Drews,http://web.tiscali.it/take_the_best59/0127%20-%20Juergen%20Drews%20-%20Ein%20Bett%20im%20Kornfeld.jpg,Ein Bett im Kornfeld
Modern Talking,http://web.tiscali.it/take_the_best60/0128%20-%20Modern%20Talking%20-%20You%27re%20My%20Heart%20You%27re%20My%20Soul.jpg,You're My Heart You're My Soul
?rzte,http://web.tiscali.it/take_the_best61/0129%20-%20Aerzte%20-%20Maenner%20sind%20Schweine.jpg,Maenner sind Schweine
Kim Carnes,http://web.tiscali.it/take_the_best62/0130%20-%20Kim%20Carnes%20-%20Bette%20Davis%20Eyes.jpg,Bette Davis Eyes
Roxette,http://web.tiscali.it/take_the_best63/0131%20-%20Roxette%20-%20The%20Look.jpg,The Look
Torfrock,http://web.tiscali.it/take_the_best64/0132%20-%20Torfrock%20-%20Beinhart.jpg,Beinhart
Falco,http://web.tiscali.it/take_the_best65/0133%20-%20Falco%20-%20Jeanny.jpg,Jeanny
Wes,http://web.tiscali.it/take_the_best66/0134%20-%20Wes%20-%20Alane.jpg,Alane
Mike Krüger,http://web.tiscali.it/take_the_best67/0135%20-%20Mike%20Kr%C3%BCger%20-%20Der%20Nippel.jpg,Der Nippel
Milli Vanilli,"http://web.tiscali.it/take_the_best68/0136%20-%20Milli%20Vanilli%20-%20Girl,%20I%27m%20Gonna%20Miss%20You.jpg","Girl, I'm Gonna Miss You"
Rednex,http://web.tiscali.it/take_the_best69/0137%20-%20Rednex%20-%20Wish%20you%20were%20here.jpg,Wish you were here
Fred Sonnenschein,http://web.tiscali.it/take_the_best70/0138%20-%20Fred%20Sonnenschein%20-%20Ja%20wenn%20wir%20alle%20Englein%20w%C3%A4ren.jpg,Ja wenn wir alle Englein w?ren
Bachman,http://web.tiscali.it/take_the_best71/0139%20-%20Bachman-Turner%20Overdrive%20-%20You%20Ain%27t%20Seen%20Nothing%20Yet.jpg,You Ain't Seen Nothing Yet
All 4 One,http://web.tiscali.it/take_the_best72/0140%20-%20All%204%20One%20-%20I%20swear.jpg,I swear
Britney Spears,http://web.tiscali.it/take_the_best73/0141%20-%20Britney%20Spears%20-%20Baby%20One%20More%20Time.jpg,Baby One More Time
Level 42,http://web.tiscali.it/take_the_best74/0142%20-%20Level%2042%20-%20Lessons%20in%20love.jpg,Lessons in love
Boney M,http://web.tiscali.it/take_the_best75/0143%20-%20Boney%20M%20-%20Sunny.jpg,Sunny
David Hasselhoff,http://web.tiscali.it/take_the_best76/0144%20-%20David%20Hasselhoff%20-%20Looking%20for%20Freedom.jpg,Looking for Freedom
Space,http://web.tiscali.it/take_the_best77/0145%20-%20Space%20-%20Magic%20Fly.jpg,Magic Fly
Soft Cell,http://web.tiscali.it/take_the_best78/0146%20-%20Soft%20Cell%20-%20Tainted%20Love.jpg,Tainted Love
Suzi Quatro,http://web.tiscali.it/take_the_best79/0147%20-%20Suzi%20Quatro%20-%20Cant%20the%20can.jpg,Cant the can
Bomfunk MCs,http://web.tiscali.it/take_the_best80/0148%20-%20Bomfunk%20MCs%20-%20Freestyler.jpg,Freestyler
Londonbeat,http://web.tiscali.it/take_the_best81/0149%20-%20Londonbeat%20-%20I%27ve%20Been%20Thinking%20About%20You.jpg,I've Been Thinking About You
DNA feat Suzanne Vega,http://web.tiscali.it/take_the_best82/0150%20-%20DNA%20feat%20Suzanne%20Vega%20-%20Tom%27s%20Diner.jpg,Tom's Diner
Tony Marshall,http://web.tiscali.it/take_the_best83/0151%20-%20Tony%20Marshall%20-%20Komm%20gib%20mir%20deine%20hand.jpg,Komm gib mir deine hand
Bee Gees,http://web.tiscali.it/take_the_best84/0152%20-%20Bee%20Gees%20-%20Night%20Fever.jpg,Night Fever
Mr.President,http://web.tiscali.it/take_the_best85/0153%20-%20Mr.President%20-%20Coco%20Jamboo%20.jpg,Coco Jamboo
Abba,http://web.tiscali.it/take_the_best86/0154%20-%20Abba%20-%20Knowing%20Me%20Knowing%20You.jpg,Knowing Me Knowing You
Sweet,http://web.tiscali.it/take_the_best87/0155%20-%20Sweet%20-%20Teenage%20Rampage.jpg,Teenage Rampage
Harpo,http://web.tiscali.it/take_the_best88/0156%20-%20Harpo%20-%20Moviestar.jpg,Moviestar
Snap,http://web.tiscali.it/take_the_best89/0157%20-%20Snap%20-%20Ooops%20Up.jpg,Ooops Up
Vanilla Ice,http://web.tiscali.it/take_the_best90/0158%20-%20Vanilla%20Ice%20-%20Ice%20Ice%20Baby.jpg,Ice Ice Baby
Bee Gees,http://web.tiscali.it/take_the_best91/0159%20-%20Bee%20Gees%20-%20You%20%20win%20again.jpg,You win again
Paul Young,http://web.tiscali.it/take_the_best92/0160%20-%20Paul%20Young%20-%20Come%20Back%20And%20Stay.jpg,Come Back And Stay
Milli Vanilli,http://web.tiscali.it/take_the_best93/0161%20-%20Milli%20Vanilli%20-%20Girl%20you%20know%20it%27s%20true.jpg,Girl you know it's true
Michael Jackson,http://web.tiscali.it/take_the_best94/0162%20-%20Michael%20Jackson%20-%20Earth%20song.jpg,Earth song
Opus,http://web.tiscali.it/take_the_best95/0163%20-%20Opus%20-%20Live%20Is%20Life.jpg,Live Is Life
Olivia Newton John & ELO,http://web.tiscali.it/take_the_best96/0164%20-%20Olivia%20Newton%20John%20&%20ELO%20-%20Xanadu.jpg,Xanadu
Garland Jeffreys,http://web.tiscali.it/take_the_best97/0165%20-%20Garland%20Jeffreys%20-%20Matador.jpg,Matador
Johnny Wakelin,http://web.tiscali.it/take_the_best98/0166%20-%20Johnny%20Wakelin%20-%20In%20Zaire.jpg,In Zaire
Fools Garden,http://web.tiscali.it/take_the_best99/0167%20-%20Fools%20Garden%20-%20Lemon%20Tree%20.jpg,Lemon Tree
Desireless,http://web.tiscali.it/take_the_best100/0168%20-%20Desireless%20-%20Voyage%20voyage.jpg,Voyage voyage
Sweet,http://web.tiscali.it/take_the_best101/0169%20-%20Sweet%20-%20Blockbuster.jpg,Blockbuster
Nena,http://web.tiscali.it/take_the_best102/0170%20-%20Nena%20-%2099%20Luftballons.jpg,99 Luftballons
Ofra Haza,http://web.tiscali.it/take_the_best104/0171%20-%20Ofra%20Haza%20-%20Im%20Nin%27Alu.jpg,Im Nin'Alu
Faithless,http://web.tiscali.it/take_the_best105/0172%20-%20Faithless%20-%20Insomnia%20.jpg,Insomnia
Roy Black & Anita,http://web.tiscali.it/take_the_best106/0173%20-%20Roy%20Black%20&%20Anita%20-%20Schoen%20ist%20es%20auf%20der%20Welt%20zu%20sei.jpg,Schoen ist es auf der Welt zu sein
Sailor,http://web.tiscali.it/take_the_best107/0174%20-%20Sailor%20-%20Girls%20Girls%20Girls.jpg,Girls Girls Girls
Bata Illic,http://web.tiscali.it/take_the_best109/0175%20-%20Bata%20Illic%20-%20Michaela.jpg,Michaela
Snow,http://web.tiscali.it/take_the_best110/0176%20-%20Snow%20-%20Informer.jpg,Informer
Smokie,http://web.tiscali.it/take_the_best111/0177%20-%20Smokie%20-%20Lay%20Back%20In%20The%20Arms%20Of%20Someon.jpg,Lay Back In The Arms Of Someon
Abba,http://web.tiscali.it/take_the_best112/0178%20-%20Abba%20-%20Money%20Money%20Money.jpg,Money Money Money
Abba,http://web.tiscali.it/take_the_best113/0179%20-%20Abba%20-%20Dancing%20Queen.jpg,Dancing Queen
Marti Webb,http://web.tiscali.it/take_the_best114/0180%20-%20Marti%20Webb%20-%20Take%20That%20Look%20Off%20Your%20Face.jpg,Take That Look Off Your Face
Witt + Heppner,http://web.tiscali.it/take_the_best115/0181%20-%20Witt%20+%20Heppner%20-%20Die%20Flut.jpg,Die Flut
Frank Zander,http://web.tiscali.it/take_the_best116/0182%20-%20Frank%20Zander%20-%20Oh%20Susie.jpg,Oh Susie
Michael Jackson,http://web.tiscali.it/take_the_best117/0183%20-%20Michael%20Jackson%20-%20They%20Dont%20Care%20.jpg,They Dont Care
Billy Swan,http://web.tiscali.it/take_the_best118/0184%20-%20Billy%20Swan%20-%20I%20Can%20Help.jpg,I Can Help
Falco,http://web.tiscali.it/take_the_best119/0185%20-%20Falco%20-%20Rock%20me%20Amadeus.jpg,Rock me Amadeus
Kelly Family,http://web.tiscali.it/take_the_best120/0186%20-%20Kelly%20Family%20-%20I%20Cant%20Help%20Myself%20%20.jpg,I Cant Help Myself
Peter Alexander,http://web.tiscali.it/take_the_best121/0187%20-%20Peter%20Alexander%20-%20Hier%20ist%20ein%20Mensch.jpg,Hier ist ein Mensch
Mr. Big,http://web.tiscali.it/take_the_best122/0188%20-%20Mr.%20Big%20-%20To%20Be%20With%20You.jpg,To Be With You
Robin Beck,http://web.tiscali.it/take_the_best123/0189%20-%20Robin%20Beck%20-%20First%20Time.jpg,First Time
Joe Dolce,http://web.tiscali.it/take_the_best124/0190%20-%20Joe%20Dolce%20-%20Shaddap%20You%20Face.jpg,Shaddap You Face
Alain Barriere & Noelle Cordier,http://web.tiscali.it/take_the_best125/0191%20-%20Alain%20Barriere%20&%20Noelle%20Cordier%20-%20Tu%20T%B4en%20Vas.jpg,Tu T′en Vas
Shirley & Company,"http://web.tiscali.it/take_the_best126/0192%20-%20Shirley%20&%20Company%20-%20Shame,%20Shame,Shame.jpg","Shame, Shame,Shame"
Christian (Nominator),http://web.tiscali.it/take_the_best127/0193%20-%20Christian%20%28Nominator%29%20-%20Es%20Ist%20Geil%20Ein%20Arschloch%20Zu%20.jpg,Es Ist Geil Ein Arschloch Zu Sein
Mireille Matthieu,http://web.tiscali.it/take_the_best128/0194%20-%20Mireille%20Matthieu%20-%20La%20Paloma%20ade.jpg,La Paloma ade
